Source,Target,Type,Id,Label,timeset,Weight
13493426,27942474,Directed,422,,,1
13493426,103378350,Directed,423,,,1
13493426,140113405,Directed,424,,,1
13493426,155317574,Directed,425,,,1
13493426,298612534,Directed,426,,,1
13493426,329769278,Directed,427,,,1
14135520,3921112,Directed,428,,,1
14135520,77665676,Directed,429,,,1
14135520,268074263,Directed,430,,,1
14704083,8761370,Directed,431,,,1
14704083,21245937,Directed,432,,,1
14704083,64971391,Directed,433,,,1
14704083,140461525,Directed,434,,,1
14704083,154362434,Directed,435,,,1
14704083,243650300,Directed,436,,,1
15604345,1687066,Directed,437,,,1
15604345,1895348,Directed,438,,,1
15604345,7299879,Directed,439,,,1
15604345,11868865,Directed,440,,,1
15604345,21245937,Directed,441,,,1
15604345,64971391,Directed,442,,,1
15604345,298914898,Directed,443,,,1
15753805,8761370,Directed,444,,,1
15753805,64971391,Directed,445,,,1
18326526,8761370,Directed,446,,,1
18326526,32996573,Directed,447,,,1
18326526,64971391,Directed,448,,,1
19102982,6023505,Directed,449,,,1
19102982,20030036,Directed,450,,,1
19102982,103900446,Directed,451,,,1
19102982,141954856,Directed,452,,,1
19102982,156763202,Directed,453,,,1
19102982,284700336,Directed,454,,,1
20030036,681368,Directed,455,,,1
20030036,1895348,Directed,456,,,1
20030036,3782958,Directed,457,,,1
20030036,5252078,Directed,458,,,1
20030036,6660444,Directed,459,,,1
20030036,8640918,Directed,460,,,1
20030036,11227609,Directed,461,,,1
20030036,19102982,Directed,462,,,1
20030036,20819022,Directed,463,,,1
20030036,27535543,Directed,464,,,1
20030036,29361763,Directed,465,,,1
20030036,31429310,Directed,466,,,1
20030036,44350887,Directed,467,,,1
20030036,45862629,Directed,468,,,1
20030036,50421281,Directed,469,,,1
20030036,54773553,Directed,470,,,1
20030036,57872530,Directed,471,,,1
20030036,64280799,Directed,472,,,1
20030036,67239996,Directed,473,,,1
20030036,77665676,Directed,474,,,1
20030036,83373018,Directed,475,,,1
20030036,103900446,Directed,476,,,1
20030036,111618438,Directed,477,,,1
20030036,111698345,Directed,478,,,1
20030036,137992384,Directed,479,,,1
20030036,141954856,Directed,480,,,1
20030036,144596911,Directed,481,,,1
20030036,156763202,Directed,482,,,1
20030036,161359926,Directed,483,,,1
20030036,168940440,Directed,484,,,1
20030036,195983394,Directed,485,,,1
20030036,238708112,Directed,486,,,1
20030036,268087726,Directed,487,,,1
20030036,284700336,Directed,488,,,1
20030036,309380107,Directed,489,,,1
20030036,310516983,Directed,490,,,1
20030036,313046065,Directed,491,,,1
20030036,323551446,Directed,492,,,1
20030036,384545072,Directed,493,,,1
20030036,445656147,Directed,494,,,1
20044768,182513,Directed,495,,,1
20044768,2996029,Directed,496,,,1
20044768,3475204,Directed,497,,,1
20044768,4336416,Directed,498,,,1
20044768,5400033,Directed,499,,,1
20044768,6748955,Directed,500,,,1
20044768,22892068,Directed,501,,,1
20044768,37478140,Directed,502,,,1
20044768,51243629,Directed,503,,,1
20044768,64971391,Directed,504,,,1
20044768,134412843,Directed,505,,,1
20044768,135638548,Directed,506,,,1
20044768,137678590,Directed,507,,,1
20044768,140113405,Directed,508,,,1
20044768,377608556,Directed,509,,,1
20044768,497631220,Directed,510,,,1
20476617,4336416,Directed,511,,,1
20476617,8761370,Directed,512,,,1
20476617,13400887,Directed,513,,,1
20476617,20819022,Directed,514,,,1
20476617,22939550,Directed,515,,,1
20476617,24364207,Directed,516,,,1
20476617,27535543,Directed,517,,,1
20476617,27942474,Directed,518,,,1
20476617,32996573,Directed,519,,,1
20476617,39300360,Directed,520,,,1
20476617,45862629,Directed,521,,,1
20476617,53679095,Directed,522,,,1
20476617,54773553,Directed,523,,,1
20476617,64280799,Directed,524,,,1
20476617,64957124,Directed,525,,,1
20476617,77665676,Directed,526,,,1
20476617,94735710,Directed,527,,,1
20476617,101425364,Directed,528,,,1
20476617,103378350,Directed,529,,,1
20476617,103900446,Directed,530,,,1
20476617,135832174,Directed,531,,,1
20476617,140113405,Directed,532,,,1
20476617,161359926,Directed,533,,,1
20476617,177532072,Directed,534,,,1
20476617,182961149,Directed,535,,,1
20476617,202962719,Directed,536,,,1
20476617,236211484,Directed,537,,,1
20476617,313046065,Directed,538,,,1
20819022,20030036,Directed,539,,,1
20819022,20476617,Directed,540,,,1
20819022,34597212,Directed,541,,,1
20819022,45862629,Directed,542,,,1
20819022,53679095,Directed,543,,,1
20819022,67239996,Directed,544,,,1
20819022,103378350,Directed,545,,,1
20819022,146047034,Directed,546,,,1
20819022,262095077,Directed,547,,,1
20819022,268087726,Directed,548,,,1
20819022,313046065,Directed,549,,,1
21245937,1687066,Directed,550,,,1
21245937,1895348,Directed,551,,,1
21245937,8761370,Directed,552,,,1
21245937,14704083,Directed,553,,,1
21245937,15604345,Directed,554,,,1
21245937,64971391,Directed,555,,,1
21245937,298914898,Directed,556,,,1
22892068,182513,Directed,557,,,1
22892068,3475204,Directed,558,,,1
22892068,5400033,Directed,559,,,1
22892068,6748955,Directed,560,,,1
22892068,20044768,Directed,561,,,1
22892068,51243629,Directed,562,,,1
22892068,134412843,Directed,563,,,1
22892068,161359926,Directed,564,,,1
22892068,377608556,Directed,565,,,1
22939550,6093629,Directed,566,,,1
22939550,20476617,Directed,567,,,1
22939550,21789442,Directed,568,,,1
22939550,25193879,Directed,569,,,1
22939550,26702622,Directed,570,,,1
22939550,31398768,Directed,571,,,1
22939550,32996573,Directed,572,,,1
22939550,35413398,Directed,573,,,1
22939550,50646716,Directed,574,,,1
22939550,56879789,Directed,575,,,1
22939550,59400046,Directed,576,,,1
22939550,80047424,Directed,577,,,1
22939550,100679237,Directed,578,,,1
22939550,103603011,Directed,579,,,1
22939550,117240274,Directed,580,,,1
22939550,125476160,Directed,581,,,1
22939550,135638548,Directed,582,,,1
22939550,161359926,Directed,583,,,1
22939550,202962719,Directed,584,,,1
22939550,227448827,Directed,585,,,1
22939550,318637960,Directed,586,,,1
23049459,2708616,Directed,587,,,1
23049459,54458327,Directed,588,,,1
23049459,54773553,Directed,589,,,1
23049459,67239996,Directed,590,,,1
23049459,83373018,Directed,591,,,1
23049459,138579434,Directed,592,,,1
23049459,146047034,Directed,593,,,1
23049459,155317574,Directed,594,,,1
23049459,156763202,Directed,595,,,1
23049459,157723522,Directed,596,,,1
23049459,161246244,Directed,597,,,1
23049459,225853331,Directed,598,,,1
23049459,323551446,Directed,599,,,1
23049459,329769278,Directed,600,,,1
23049459,367545737,Directed,601,,,1
24238237,1024192,Directed,602,,,1
24238237,5252078,Directed,603,,,1
24238237,30868506,Directed,604,,,1
24238237,32996573,Directed,605,,,1
24238237,34597212,Directed,606,,,1
24238237,39300360,Directed,607,,,1
24238237,44120838,Directed,608,,,1
24238237,57872530,Directed,609,,,1
24238237,68129316,Directed,610,,,1
24238237,83373018,Directed,611,,,1
24238237,103900446,Directed,612,,,1
24238237,111618438,Directed,613,,,1
24238237,111698345,Directed,614,,,1
24238237,125916807,Directed,615,,,1
24238237,141468568,Directed,616,,,1
24238237,144596911,Directed,617,,,1
24238237,152780422,Directed,618,,,1
24238237,155317574,Directed,619,,,1
24238237,171358806,Directed,620,,,1
24238237,230662240,Directed,621,,,1
24238237,236211484,Directed,622,,,1
24238237,268087726,Directed,623,,,1
24238237,310516983,Directed,624,,,1
24238237,313046065,Directed,625,,,1
24238237,319046433,Directed,626,,,1
24330759,54458327,Directed,627,,,1
24330759,64971391,Directed,628,,,1
24330759,68787816,Directed,629,,,1
